	Unnamed: 0	contrasts	copes	task	task_id	contrast_ids	id
30	0	2BK_BODY	cope1.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON31	TASK07_CON31
31	1	2BK_FACE	cope2.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON32	TASK07_CON32
32	2	2BK_PLACE	cope3.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON33	TASK07_CON33
33	3	2BK_TOOL	cope4.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON34	TASK07_CON34
34	4	0BK_BODY	cope5.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON35	TASK07_CON35
35	5	0BK_FACE	cope6.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON36	TASK07_CON36
36	6	0BK_PLACE	cope7.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON37	TASK07_CON37
37	7	0BK_TOOL	cope8.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON38	TASK07_CON38
38	8	2BK	cope9.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON39	TASK07_CON39
39	9	0BK	cope10.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON40	TASK07_CON40
40	10	2BK-0BK	cope11.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON41	TASK07_CON41
41	11	neg_2BK	cope12.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON42	TASK07_CON42
42	12	neg_0BK	cope13.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON43	TASK07_CON43
43	13	0BK-2BK	cope14.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON44	TASK07_CON44
44	14	BODY	cope15.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON45	TASK07_CON45
45	15	FACE	cope16.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON46	TASK07_CON46
46	16	PLACE	cope17.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON47	TASK07_CON47
47	17	TOOL	cope18.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON48	TASK07_CON48
48	18	BODY-AVG	cope19.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON49	TASK07_CON49
49	19	FACE-AVG	cope20.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON50	TASK07_CON50
50	20	PLACE-AVG	cope21.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON51	TASK07_CON51
51	21	TOOL-AVG	cope22.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON52	TASK07_CON52
52	22	neg_BODY	cope23.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON53	TASK07_CON53
53	23	neg_FACE	cope24.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON54	TASK07_CON54
54	24	neg_PLACE	cope25.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON55	TASK07_CON55
55	25	neg_TOOL	cope26.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON56	TASK07_CON56
56	26	AVG-BODY	cope27.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON57	TASK07_CON57
57	27	AVG-FACE	cope28.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON58	TASK07_CON58
58	28	AVG-PLACE	cope29.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON59	TASK07_CON59
59	29	AVG-TOOL	cope30.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON60	TASK07_CON60
60	0	CUE	cope1.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON61	TASK04_CON61
61	1	LF	cope2.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON62	TASK04_CON62
62	2	LH	cope3.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON63	TASK04_CON63
63	3	RF	cope4.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON64	TASK04_CON64
64	4	RH	cope5.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON65	TASK04_CON65
65	5	T	cope6.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON66	TASK04_CON66
66	6	AVG	cope7.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON67	TASK04_CON67
67	7	CUE-AVG	cope8.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON68	TASK04_CON68
68	8	LF-AVG	cope9.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON69	TASK04_CON69
69	9	LH-AVG	cope10.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON70	TASK04_CON70
70	10	RF-AVG	cope11.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON71	TASK04_CON71
71	11	RH-AVG	cope12.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON72	TASK04_CON72
72	12	T-AVG	cope13.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON73	TASK04_CON73
73	13	neg_CUE	cope14.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON74	TASK04_CON74
74	14	neg_LF	cope15.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON75	TASK04_CON75
75	15	neg_LH	cope16.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON76	TASK04_CON76
76	16	neg_RF	cope17.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON77	TASK04_CON77
77	17	neg_RH	cope18.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON78	TASK04_CON78
78	18	neg_T	cope19.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON79	TASK04_CON79
79	19	neg_AVG	cope20.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON80	TASK04_CON80
80	20	AVG-CUE	cope21.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON81	TASK04_CON81
81	21	AVG-LF	cope22.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON82	TASK04_CON82
82	22	AVG-LH	cope23.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON83	TASK04_CON83
83	23	AVG-RF	cope24.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON84	TASK04_CON84
84	24	AVG-RH	cope25.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON85	TASK04_CON85
85	25	AVG-T	cope26.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON86	TASK04_CON86
