	Unnamed: 0	contrasts	copes	task	task_id	contrast_ids	id
31	19	FACE-AVG	cope20.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON50	TASK07_CON50
32	20	PLACE-AVG	cope21.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON51	TASK07_CON51
33	21	TOOL-AVG	cope22.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON52	TASK07_CON52
34	0	CUE	cope1.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON61	TASK04_CON61
35	1	LF	cope2.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON62	TASK04_CON62
36	2	LH	cope3.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON63	TASK04_CON63
37	3	RF	cope4.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON64	TASK04_CON64
38	4	RH	cope5.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON65	TASK04_CON65
39	5	T	cope6.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON66	TASK04_CON66
40	6	AVG	cope7.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON67	TASK04_CON67
41	7	CUE-AVG	cope8.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON68	TASK04_CON68
42	8	LF-AVG	cope9.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON69	TASK04_CON69
43	9	LH-AVG	cope10.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON70	TASK04_CON70
44	10	RF-AVG	cope11.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON71	TASK04_CON71
45	11	RH-AVG	cope12.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON72	TASK04_CON72
46	12	T-AVG	cope13.feat/stats/cope1.nii.gz	tfMRI_MOTOR	TASK04	CON73	TASK04_CON73
